article,image,price,product_name,specifications
2801163,https://s3.iautomatica.ru/iblock/7ce/9d09e02a-c4dd-11e8-8109-0cc47a73967f_c3e3ef00-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,25 870,Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 VAL-MS-T1/T2 600DC-PV/2+V," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801163 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801162,https://s3.iautomatica.ru/iblock/db1/9d09e028-c4dd-11e8-8109-0cc47a73967f_c3e3eeff-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,7 038,"Штекерный модуль для защиты от перенапряжений, тип 1/2 VAL-MS-T1/T2 1000DC-PV-ST"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801162 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Штекерный модуль для защиты от перенапряжений, тип 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801637,https://s3.iautomatica.ru/iblock/913/9d09e032-c4dd-11e8-8109-0cc47a73967f_c3e3ef0c-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,56 930,"Молниезащитный разрядник, тип 1 FLT 50 N/PE CTRL-4.0"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801637 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Комбинированный разрядник типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801635,https://s3.iautomatica.ru/iblock/3f9/9d09e030-c4dd-11e8-8109-0cc47a73967f_c3e3ef0b-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,56 930,"Молниезащитный разрядник, тип 1 FLT 35 CTRL-4.0"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801635 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Комбинированный разрядник типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801165,https://s3.iautomatica.ru/iblock/4b1/9d09e02c-c4dd-11e8-8109-0cc47a73967f_c3e3ef02-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,7 038,"Штекерный модуль для защиты от перенапряжений, тип 1/2 VAL-MS-T1/T2 600DC-PV-ST"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801165 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Штекерный модуль для защиты от перенапряжений, тип 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2804403,https://s3.iautomatica.ru/iblock/4b8/9d09e034-c4dd-11e8-8109-0cc47a73967f_c3e3ef10-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,106 635,"Разрядник для защиты от импульсных перенапряжений, тип 2 VAL-CP-MOSO 60-3S-FM"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2804403 | Вес | 1 | Страна | Германия | ETIM | EC000941 | Дополнительное описание | Разрядник для защиты от импульсных перенапряжений, тип 2 | Подробное описание материала 1 | Устройство защиты от перенапряжения для систем энергоснабжения"
2801047,https://s3.iautomatica.ru/iblock/083/9d09e020-c4dd-11e8-8109-0cc47a73967f_c3e3eefa-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,5 201,Базовый элемент VAL-MS-T1/T2 BE-FM," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 2801047 | Вес | 1 | Страна | Германия | ETIM | EC000472 | Дополнительное описание | Базовый элемент | Подробное описание материала 1 | Базовый элемент устройства защиты от избыточного напряжения"
2801042,https://s3.iautomatica.ru/iblock/91b/9d09e01c-c4dd-11e8-8109-0cc47a73967f_c3e3eef8-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,15 597,Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 VAL-MS-T1/T2 335/12.5/1+0-FM," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801042 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801161,https://s3.iautomatica.ru/iblock/6a8/9d09e026-c4dd-11e8-8109-0cc47a73967f_c3e3eefe-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,31 427,Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 VAL-MS-T1/T2 1000DC-PV/2+V-FM," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801161 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801136,https://s3.iautomatica.ru/iblock/d1e/9d09e022-c4dd-11e8-8109-0cc47a73967f_c3e3eefc-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,15 977,Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 F-MS-T1/T2 50," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801136 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Молниеотвод / разрядник для защиты от импульсных перенапряжений типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2801046,https://s3.iautomatica.ru/iblock/7f5/9d09e01e-c4dd-11e8-8109-0cc47a73967f_c3e3eef9-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,3 619,Базовый элемент VAL-MS-T1/T2 BE," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 2801046 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Базовый элемент | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
0801645,https://s3.iautomatica.ru/iblock/a1e/e3d23d99-c4dc-11e8-8109-0cc47a73967f_0d13eda3-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,2 616,Компонент для закрытия отверстий CES-B10-SFC-M," Минимальное количество поставки | 1 | Количество в упаковке | 10 | Артикул | 0801645 | Вес | 1 | Страна | Германия | ETIM | EC002309 | Дополнительное описание | Компонент для закрытия отверстий | Подробное описание материала 1 | Соединительная плата/адаптер для промышленных разъемов"
0801641,https://s3.iautomatica.ru/iblock/a1e/e3d23d99-c4dc-11e8-8109-0cc47a73967f_0d13eda3-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,3 357,Компонент для закрытия отверстий CES-B24-SFC-M," Минимальное количество поставки | 1 | Количество в упаковке | 10 | Артикул | 0801641 | Вес | 1 | Страна | Германия | ETIM | EC002309 | Дополнительное описание | Компонент для закрытия отверстий | Подробное описание материала 1 | Соединительная плата/адаптер для промышленных разъемов"
0801642,https://s3.iautomatica.ru/iblock/9c9/e3d23d9b-c4dc-11e8-8109-0cc47a73967f_0d13eda4-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,2 987,Компонент для закрытия отверстий CES-B16-SFC-M," Минимальное количество поставки | 1 | Количество в упаковке | 10 | Артикул | 0801642 | Вес | 1 | Страна | Германия | ETIM | EC002309 | Дополнительное описание | Компонент для закрытия отверстий | Подробное описание материала 1 | Соединительная плата/адаптер для промышленных разъемов"
1582548,https://s3.iautomatica.ru/iblock/1cd/e3d23d1f-c4dc-11e8-8109-0cc47a73967f_fe589691-a959-11ea-811a-0cc47a73967f.resize1.jpeg,2 351,"Кабельный соединитель QPD CW 3PE2,5 1X6-10 BK"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 1582548 | Вес | 1 | Страна | Германия | ETIM | EC002560 | Дополнительное описание | Кабельный соединитель | Подробное описание материала 1 | Штекерный разъём (соединитель) для подключения в зданиях"
